#date,wt1,wt2,ws1,ws2,cs1,cs2
2019-01-05,140.2,nan,76.7,nan,38.7,nan
2019-01-06,139.2,139.8,nan,77.5,nan,38.6
2019-01-07,138.8,139.4,76.3,77.3,37.3,38.5
2019-01-08,137.8,138.4,76.1,76.2,37.4,38.3
2019-01-09,136.2,136.8,75.5,75.9,37.5,38.0
2019-01-10,135.0,135.8,73.2,75.0,37.2,38.0
2019-01-11,135.0,136.6,73.5,75.0,37.0,38.3
2019-01-12,134.0,135.6,73.0,73.8,37.2,38.0
2019-01-13,134.4,136.8,72.5,72.5,37.0,38.0
2019-01-14,135.0,135.8,72.3,73.0,37.1,37.8
2019-01-15,134.2,135.8,71.5,72.7,36.9,38.1
2019-01-16,134.0,134.4,71.2,72.3,37.1,37.9
2019-01-17,133.0,134.8,71.3,72.4,37.3,37.6
2019-01-18,134.2,136.2,71.0,72.4,37.0,37.9
2019-01-19,134.8,136.0,71.0,71.7,36.9,37.9
2019-01-20,134.4,135.4,70.7,71.5,36.8,37.8
2019-01-21,133.8,135.4,70.3,71.6,36.8,38.0
2019-01-22,134.4,134.4,70.4,71.3,37.0,37.9
2019-01-23,133.4,134.0,70.0,70.6,36.6,37.5
2019-01-24,131.8,133.0,69.5,70.5,36.6,37.5
2019-01-25,132.0,128.6,69.4,70.3,36.5,37.5
2019-01-26,131.0,133.0,69.3,70.3,36.3,37.3
2019-01-27,132.2,133.8,69.4,70.0,36.4,37.5
2019-01-28,133.0,133.8,69.3,70.4,36.3,37.4
2019-01-29,131.6,135.0,68.7,69.8,36.3,37.7
2019-01-30,133.2,133.4,69.4,70.0,36.5,37.2
2019-01-31,132.2,134.4,69.0,70.3,36.2,37.3
2019-02-01,132.8,132.8,68.9,69.5,36.4,37.1
2019-02-02,132.0,134.6,68.6,70.0,36.1,37.3
2019-02-03,133.0,133.0,68.4,69.7,36.4,37.0
2019-02-04,131.8,133.0,68.3,69.0,35.7,37.3
2019-02-05,131.4,130.8,68.0,67.9,36.0,37.4
2019-02-06,130.0,130.6,67.8,68.7,35.7,37.5
2019-02-07,129.8,129.8,67.8,68.6,35.5,36.2
2019-02-08,129.0,130.6,67.7,68.5,35.6,36.5
2019-02-09,130.6,130.4,67.6,68.3,35.7,36.3
2019-02-10,130.0,nan,67.3,68.4,35.6,36.5
2019-02-11,130.2,nan,67.3,67.6,35.7,36.6
2019-02-12,nan,130.2,nan,67.7,nan,36.5
2019-02-13,129.0,129.2,67.0,68.0,35.6,36.5
2019-02-14,128.2,128.2,67.0,67.5,35.4,36.4
2019-02-15,127.4,128.0,66.8,67.4,35.4,36.5
2019-02-16,127.2,129.2,67.0,67.8,35.4,36.3
2019-02-17,128.2,128.0,66.7,67.4,35.6,36.4
2019-02-18,127.6,128.6,66.5,68.2,35.4,36.3
2019-02-19,127.0,128.2,66.3,67.3,35.2,36.3
2019-02-20,126.8,128.0,66.3,67.6,35.3,36.2
2019-02-21,126.8,127.8,66.0,67.5,35.2,36.2
2019-02-22,126.0,127.8,66.0,67.7,35.3,36.0
2019-02-23,126.4,128.8,65.8,68.0,34.8,35.7
2019-02-24,127.0,129.0,66.5,68.0,34.7,35.7
2019-02-25,127.8,129.2,66.3,67.6,34.3,35.4
2019-02-26,127.2,126.4,66.4,67.4,34.7,35.5
2019-02-27,125.4,126.4,66.3,67.5,34.3,35.6
2019-02-28,126.2,127.0,66.0,66.6,34.3,35.3
2019-03-01,125.2,126.0,66.0,66.7,34.1,35.2
2019-03-02,124.6,127.5,66.0,67.2,34.0,35.3
2019-03-03,125.4,126.8,65.9,66.9,34.2,35.4
2019-03-04,125.2,126.2,66.0,66.7,34.2,35.5
2019-03-05,124.6,128.2,65.9,67.0,34.2,35.3
2019-03-06,126.8,125.2,66.4,66.8,34.3,34.9
2019-03-07,124.6,125.6,66.0,67.0,34.2,35.3
2019-03-08,125.2,124.6,66.0,67.2,34.2,34.8
2019-03-09,126.0,129.8,66.1,67.5,34.1,35.2
2019-03-10,128.4,127.8,66.5,67.3,34.1,35.2
2019-03-11,126.6,127.8,66.1,67.0,34.1,35.1
2019-03-12,126.2,126.0,66.0,66.9,34.1,34.8
2019-03-13,124.8,126.4,65.9,66.5,34.1,35.0
2019-03-14,126.4,124.6,66.1,66.7,33.9,34.6
#,nan,nan,nan,nan,nan,nan
